iter	Accuracy	Logloss	MCC	Precision	Recall	F1
0	0.7128712871	0.680349328	0.4188492063	0.7410714286	0.7410714286	0.7410714286
1	0.7821782178	0.673740566	0.5570685457	0.7833333333	0.8392857143	0.8103448276
2	0.7673267327	0.664556246	0.5266329638	0.7642276423	0.8392857143	0.8
3	0.8415841584	0.652324775	0.6785093218	0.8448275862	0.875	0.8596491228
4	0.8514851485	0.6440943063	0.6986531905	0.8534482759	0.8839285714	0.8684210526
5	0.8514851485	0.6359590419	0.6987041422	0.8474576271	0.8928571429	0.8695652174
6	0.8861386139	0.6301723031	0.7704596541	0.867768595	0.9375	0.9012875536
7	0.9059405941	0.6203555604	0.809606413	0.8974358974	0.9375	0.9170305677
8	0.9059405941	0.6108204917	0.8093658619	0.9043478261	0.9285714286	0.9162995595
9	0.900990099	0.6025921343	0.7993260633	0.9035087719	0.9196428571	0.9115044248
10	0.8613861386	0.5972619499	0.7201994318	0.8818181818	0.8660714286	0.8738738739
11	0.8811881188	0.5888189054	0.7601995102	0.9	0.8839285714	0.8918918919
12	0.8861386139	0.5785873968	0.7731660656	0.9238095238	0.8660714286	0.8940092166
13	0.8861386139	0.5742549703	0.7731660656	0.9238095238	0.8660714286	0.8940092166
14	0.9108910891	0.5693172811	0.8201996279	0.9272727273	0.9107142857	0.9189189189
15	0.900990099	0.5609387523	0.8011122298	0.9259259259	0.8928571429	0.9090909091
16	0.900990099	0.5539773147	0.8011122298	0.9259259259	0.8928571429	0.9090909091
17	0.900990099	0.5454593777	0.8011122298	0.9259259259	0.8928571429	0.9090909091
18	0.9108910891	0.5430512362	0.8210807232	0.9351851852	0.9017857143	0.9181818182
19	0.896039604	0.5369647603	0.7906248963	0.9174311927	0.8928571429	0.9049773756
20	0.896039604	0.5310385946	0.7898522685	0.9099099099	0.9017857143	0.9058295964
21	0.896039604	0.5272897927	0.7906248963	0.9174311927	0.8928571429	0.9049773756
22	0.896039604	0.5239554813	0.7906248963	0.9174311927	0.8928571429	0.9049773756
23	0.896039604	0.5177296587	0.7906248963	0.9174311927	0.8928571429	0.9049773756
24	0.896039604	0.5099831237	0.7898522685	0.9099099099	0.9017857143	0.9058295964
25	0.896039604	0.5026384649	0.7917086329	0.9252336449	0.8839285714	0.904109589
26	0.8910891089	0.4962482701	0.7823942529	0.9245283019	0.875	0.8990825688
27	0.900990099	0.4922708086	0.8011122298	0.9259259259	0.8928571429	0.9090909091
28	0.900990099	0.487585771	0.8011122298	0.9259259259	0.8928571429	0.9090909091
29	0.8910891089	0.4834267902	0.7811437364	0.9166666667	0.8839285714	0.9
30	0.900990099	0.4792823427	0.8011122298	0.9259259259	0.8928571429	0.9090909091
31	0.9059405941	0.4749951553	0.8106081582	0.9266055046	0.9017857143	0.9140271493
32	0.9059405941	0.4723824144	0.8106081582	0.9266055046	0.9017857143	0.9140271493
33	0.9108910891	0.4683132678	0.8201996279	0.9272727273	0.9107142857	0.9189189189
34	0.9207920792	0.4646561098	0.8396825397	0.9285714286	0.9285714286	0.9285714286
35	0.9257425743	0.4578879581	0.8495809286	0.9292035398	0.9375	0.9333333333
36	0.9257425743	0.4525039878	0.8495809286	0.9292035398	0.9375	0.9333333333
37	0.9257425743	0.4495921065	0.8495809286	0.9292035398	0.9375	0.9333333333
38	0.9257425743	0.4444368088	0.8495809286	0.9292035398	0.9375	0.9333333333
39	0.9257425743	0.4395631962	0.8495809286	0.9292035398	0.9375	0.9333333333
40	0.9257425743	0.4364974475	0.8495809286	0.9292035398	0.9375	0.9333333333
41	0.9257425743	0.4322727742	0.8495809286	0.9292035398	0.9375	0.9333333333
42	0.9257425743	0.4279829795	0.8495809286	0.9292035398	0.9375	0.9333333333
43	0.9207920792	0.4246644015	0.8396825397	0.9285714286	0.9285714286	0.9285714286
44	0.9306930693	0.420003682	0.8597222222	0.9375	0.9375	0.9375
45	0.9257425743	0.4165490745	0.8499087898	0.9369369369	0.9285714286	0.932735426
46	0.9257425743	0.4138675378	0.8499087898	0.9369369369	0.9285714286	0.932735426
47	0.9306930693	0.4119648678	0.8597222222	0.9375	0.9375	0.9375
48	0.9306930693	0.4082057056	0.8597222222	0.9375	0.9375	0.9375
49	0.9356435644	0.4044385885	0.8696435131	0.9380530973	0.9464285714	0.9422222222
50	0.9405940594	0.4003117754	0.8797619048	0.9464285714	0.9464285714	0.9464285714
51	0.9405940594	0.3983300653	0.8797619048	0.9464285714	0.9464285714	0.9464285714
52	0.9455445545	0.3972400036	0.8897060975	0.9469026549	0.9553571429	0.9511111111
53	0.9405940594	0.3931664841	0.8797619048	0.9464285714	0.9464285714	0.9464285714
